1: politics, fightfor15, clemson, 1u, powertv, headlines, allin, power, moleg, twitterafterdark, pgh, solidarity, conservative, manual, teamom, safc, raisethewage, gotigers, rawcast, powerpremiere, philosophy, nys, pokemongo, esports, summersixteentour

2: imwithher, amjoy, strongertogether, teamhillary, tuitutil, hillary2016, rezero, awaninews, clintonkaine, tulsa, decision2016, reiders, piscis, amandionair, capecoral, hillyes, sheswithus, halep, dropoutbernie, swfl, cbcfalc16, liartrump, kakenews, hillarysarmy, realtime

3: pray4leaders, election2016, islam, muslim, atltraffic, muslims, herewego, whatilearnedtoday, trutherbot, jihad, currency, nuclear, steelersnation, oneeighty, freejahar, activeparticipant, jimin, goodleaders, steelernation, cair, steelers, bradcast, amortization, 1pet2, 1tim2

4: nyc, worldnews, newyork, cheap, history, used, communityradio, justinbieber, journalism, dc, uk, star, london, wig, wmnhist, otd, hosting, gtav, brooklyn, concert, estate, la, education, real, bet

5: otd, of, hsotscores, truecrime, rent, q13fox, gohawks, followfriday, aurora, tusc, jacksonville, clearwater, seattle, newmexico, york, toledo, worcester, az, co, pharmacy, forsale, usarmy, pueblo, hrv, erie

6: wmiwx, bb18, energy, wichita, thunderstorm, royals, kalamazoo, zaulie, kswx, stem, overthefortress, nhl17tarasenko, refugeesgr, grandrapids, bbott, nascarxfox, kc, kansascity, miwx, lansing, fortwayne, stlblues, kcwx, rockford, survivor

7: nfl, panthers, elsmatinstv3, broncos, bills, hornets, 49ers, clthsfb, steelers, patriots, rwnjalert, eagles, bears, browns, sondakika, ravens, touhou, lions, redskins, cowboys, seahawks, canes, packers, texans, jaguars

8: tcot, teaparty, mapoli, motels, restorethevra, gop, moralrevival, scotus, moraldayofaction, stateofwomen, doyourjob, bospoli, earlyedchat, reprorights, reprojustice, votingrights, aboriginalbc, nn16, stopthesham, rj2016, beboldendhyde, election2016, blacklivesmatter, wcvb, tc

9: auspol, tbt, motorcycle, lateline, parts, throwbackthursday, kidlitart, iheartfestival, qanda, vanityfair, wcw, wvu, temple, ausvotes, nofilter, yoga, theprojecttv, adelaide, tgif, lnp, flashbackfriday, motivationmonday, wfu, mondaymotivation, throwback

10: security, cybersecurity, atl, acab, infosec, peoplesmonday, blacklivesmatter, ericgarner, revolution, nypd, privacy, culturefix, policestate, shutdowncityhallnyc, scorpio, shutitdown, nyc, ftp, riseupoctober, icantbreathe, atlanta, thetime, sagittarius, gemini, baltimoreuprising

11: win, gh2016, giveaway, clttraffic, ghdirecto, competition, cltraffic, libra, luxury, contest, sweepstakes, vacations, freebiefriday, familytravel, stpromo, travel, ventas, fees2017, bailando2016, portadas, showmatch2016, larevancha, sample, gh2016lafinal, burbank

12: periscope, googlealerts, katch, tphonline, synod15, mugshots, daytonabeach, packers, save, district, nursesweek, liveunited, prayerwarrior, dn, quickscope, onrare, njfootball, volusiacounty, corruptgovernment, daytona, econdev, hoodieseason, ncaavb, bloggerswanted, backsplash

13: thewalkingdead, blessed, rip, pei, tbt, rooneymara, smh, jokes, winning, wtf, twd, truth, thelastship, wcw, wow, what, realtalk, i, sorrynotsorry, fail, respect, walkingdead, merica, mcm, current

14: syria, us, isis, turkey, russia, aleppo, iran, iraq, ancap, putin, yemen, eu, saudi, ukraine, germany, erdogan, saudiarabia, usa, obama, uk, un, daesh, europe, israel, afghanistan

15: afp, nba, nbafinals, mets, marchmadness, unc, warriors, nbaplayoffs, bbn, yahoosports, cavs, nfl, fantasyfootball, mavs, goheels, dubnation, knicks, cotedazurnow, sb50, finalfour, usmnt, goblue, uswnt, espn, mlb

16: for, a, rates, ufo, science, to, how, psychology, malliardreport, no, personal, pandora, what, dkpol, space, real, return, biotech, ai, find, car, on, gamedev, top, the

17: kcaargentina, soy, lali, lalitrendy, ss10, infos, virgo, tauro, reseauxsociaux, cameroun, euro2016, wakingtimes, soytour, lgj, nu, frapor, afrique, sport, quotidien, fraall, m, kcaargentina️, divasnomtvhits, psg, talentawards

18: debatenight, debate, vpdebate, debates, debates2016, trumptapes, debate2016, presidentialdebate, hurricanematthew, nbcnewsforum, chelsea, vpdebate2016, usl, emmys, matthew, trumpwon, trump, lasttimetrumppaidtaxes, election2016, hoboken, trumptape, neverforget, nationalvoterregistrationday, washudebate2016, octobersurprise

19: hillaryclinton, dncleak, dncleaks, blacklivesmatter, demsinphilly, hillary, dnc, blm, dncinphl, freemilo, trump, milwaukee, wikileaks, obama, hillaryshealth, crookedhillary, neverhillary, clintonfoundation, democrats, trump2016, demconvention, berniesanders, benghazi, batonrouge, charlotteprotest

20: maga, trump2016, trump, neverhillary, trumptrain, trumppence16, crookedhillary, hillary, makeamericagreatagain, hillaryshealth, americafirst, basketofdeplorables, votetrump, vpdebate, debatenight, basementdwellers, hillaryclinton, debates2016, followthemoney, trumpwon, debates, dncleak, benghazi, imwithyou, sickhillary

21: tlot, hillaryshealth, infowars, tcot, vrwc, hillarysearpiece, cdnews, anybodybuthillary, sgp, fox35, ows, hillarysdouble, hillarysbodydouble, blm, twisters, freedomsquare, 2a, p2, ttip, gop, newworldorder, ocra, tgdn, whereshillary, romney

22: rncincle, demsinphilly, gopdebate, demdebate, dncinphl, demconvention, dallas, orlando, debatenight, gopconvention, nobillnobreak, supertuesday, sotu, vpdebate, brexit, cnndebate, scotus, batonrouge, rnc2016, iowacaucus, demtownhall, enough, filibuster, debates2016, oscars

23: florvignatrendy, pablorodrigueztrendy, copolitics, poetry, doink, photography, mufc, esposajoven, coys, coleg, 9news, kcaargentina, kidlit, writing, deezer, eastenders, amediting, loveisland, tcmparty, image, ledebrief, corrie, pavênomtvhits, cfc, comoanilloaldedo

24: police, in, california, florida, chicago, car, video, fresno, texas, ohio, tennessee, arizona, ny, boston, virginia, colorado, pennsylvania, philadelphia, fl, michigan, denver, 拡散希望, dallas, miami, tampa

25: ncat, aries, forex, uncg, celebratewomen, snp, timbeta, wssu, local, womensmainevent, ghoe, prisondivest, ncat20, whodey, nervedjs, denvscin, shewillbe, executiveteam, nccu20, cheaphotels, wweuniverse, bennett, snaps, personals, uncg20

26: raw, sdlive, wwe, summerslam, wweclash, wwebacklash, smackdownlive, smackdown, nxttakeover, wwenxt, cwc, wwe2k17, wwebattleground, wrestlemania, wwenomercy, wwedraft, wcpw, mitb, ufc203, clashofchampions, legitboss, impactonpop, nxt, wwemoms, womenswrestling

27: gh, noticias, cbb, ootd, yr, kca, tapas, wsnc, gastro, days, boldandbeautiful, 28min, capricornio, moda, motor, nickelodeon, dresses, geordieshore, centennial, ihsnet, dress, friz, mx, bbuk, homeschool

28: maddow, inners, hardball, lastword, amjoy, cowboysnation, sotu, nerdland, 2ne1, realtime, dallascowboys, 12news, mtp, cl, hbcu, cowboys, newday, sitroom, msnbc, supportstandingrock, botb, bigbang, liftedbycl, uppers, morningjoe

29: news, calculator, bbloggers, sports, lbloggers, fbloggers, detroit, thegirlgang, sterlingheights, northlasvegas, rialto, edison, honda, ourmoment, apply, drudge, cge, efile, fblchat, compelled, templemade, wemakeleaders, wigs, games, culturewins

30: keithlamontscott, charlotteprotest, keithscott, terencecrutcher, alfredolango, blacklivesmatter, charlotte, charlotteuprising, elcajon, prisonstrike, tyreking, charlotteprotests, charlotteriots, blm, intelgroup, tyreeking, gapol, cmpd, phillies, wccb, kaepernick, nodapl, terrencesterling, breaking, iawacs

31: finance, socialmedia, business, insurance, marketing, auto, loans, online, tech, car, rent, facebook, branding, web, instagram, blog, digitalmarketing, mobile, twitter, digital, seo, pr, bigdata, google, small

